sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 2. Typical Heat-Treatment Temperatures of Various Medium-Carbon Low-Alloy Steels with Yield Strengths Above 1380 MPa (200 ksi)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel type";"normalizing temperature (a) (°C)";"normalizing temperature (a) (°F)";"annealing temperature (b) (°C)";"annealing temperature (b) (°F)";"hardening temperature (a) (°C)";"hardening temperature (a) (°F)";"tempering temperature (c) (°C)";"tempering temperature (c) (°F)";"stress relief temperature (d) (°C)";"stress relief temperature (d) (°F)";"maximum spheroidizing temperature (e) (°C)";"maximum spheroidizing temperature (e) (°F)";"";"";"";"";"";"";"";"";"";"";"";""
"1";"4130";"870 - 925";"1600 - 1700";"830 - 870";"1525 - 1600";"845 - 870 (water quenching)";"1550 - 1660";"200 - 700";"400 - 1300";"650 - 675";"1200 - 1250";"760 - 775";"1400 - 1425";"";"";"";"";"";"";"";"";"";"";"";""
"2";"4130";"870 - 925";"1600 - 1700";"830 - 870";"1525 - 1600";"860 - 885 (oil quenching)";"1575 - 1625";"200 - 700";"400 - 1300";"650 - 675";"1200 - 1250";"760 - 775";"1400 - 1425";"";"";"";"";"";"";"";"";"";"";"";""
"3";"4140";"870 - 900(f)";"1600 - 1650(f)";"830 - 870";"1525 - 1600";"840 - 870 (oil quenching)";"1550 - 1600(f)";"175 - 230";"350 - 450";"650 - 675";"1200 - 1250";"760 - 775";"1400 - 1425";"";"";"";"";"";"";"";"";"";"";"";""
"4";"4140";"870 - 900(f)";"1600 - 1650(f)";"830 - 870";"1525 - 1600";"840 - 870 (oil quenching)";"1550 - 1600(f)";"385 - 705";"725 - 1300";"650 - 675";"1200 - 1250";"760 - 775";"1400 - 1425";"";"";"";"";"";"";"";"";"";"";"";""
"5";"4330 Mod";"870 - 925";"1600 - 1700";"830 - 870";"1525 - 1600";"845 - 870 (oil quenching)";"1550 - 1600";"260 - 595";"500 - 1100";"650 - 675";"1200 - 1250";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"4340";"870 - 925";"1600 - 1700";"830 - 860";"1525 - 1575";"800 - 830 (oil quenching)";"1475 - 1525(f)";"455 - 650";"850 - 1200";"650 - 675";"1200 - 1250";"750";"1375";"";"";"";"";"";"";"";"";"";"";"";""
"7";"300M";"915 - 940";"1675 - 1725";"See text for spheroidizing.";"See text for spheroidizing.";"855 - 885 (oil quenching)";"1575 - 1625";"300";"575";"";"";"730";"1350";"";"";"";"";"";"";"";"";"";"";"";""
"8";"D-6A and D-6AC";"925 - 955(f)";"1700 - 1750(f)";"815 - 860";"1500 - 1575";"845 - 925 (oil quenching)";"1550 - 1700";"315 - 650";"600 - 1200";"540 - 675";"1000 - 1250";"730";"1350";"";"";"";"";"";"";"";"";"";"";"";""
"9";"6150";"870 - 955";"1600 - 1750";"830 - 860(f)";"1525 - 1575(f)";"845 - 900 (oil quenching)";"1550 - 1650";"200 - 650";"400 - 1200";"650 - 675";"1200 - 1250";"730";"1350";"";"";"";"";"";"";"";"";"";"";"";""
"10";"8640";"870 - 925";"1600 - 1700";"845 - 870";"1550 - 1600";"815 - 845 (oil quenching)";"1500 - 1550";"200 - 650";"400 - 1200";"650 - 675";"1200 - 1250";"700 - 720";"1300 - 1325";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
