sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 9. Typical Mechanical Properties of 4340 Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"hardness, HB (unitless)";"hardness, HRC (unitless)";"Izod impact energy (J)";"Izod impact energy (lbf ft)";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"205";"400";"1980";"287";"1860";"270";"11";"39";"520";"53";"20";"15";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"315";"600";"1760";"255";"1620";"235";"12";"44";"490";"49.5";"14";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"425";"800";"1500";"217";"1365";"198";"14";"48";"440";"46";"16";"12";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"540";"1000";"1240";"180";"1160";"168";"17";"53";"360";"39";"47";"35";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"650";"1200";"1020";"148";"860";"125";"20";"60";"290";"31";"100";"74";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"705";"1300";"860";"125";"740";"108";"23";"63";"250";"24";"102";"75";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
