sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 13 Carbon steel compositions applicable only to structural shapes, plates, strip, sheets, and welded tubing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"UNS number";"SAE-AISI number";"Cast or heat 
chemical ranges 
and limits; C (a) (%)";"Cast or heat 
chemical ranges 
and limits; Mn (a) (%)";"Cast or heat 
chemical ranges 
and limits; P max (a) (%)";"Cast or heat 
chemical ranges 
and limits; S max (a) (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"G10060";"1006";"0.08 max";"0.45 max";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"G10080";"1008";"0.10 max";"0.50 max";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"G10090";"1009";"0.15 max";"0.60 max";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"G10100";"1010";"0.08-0.13";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"G10120";"1012";"0.10-0.15";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"G10150";"1015";"0.12-0.18";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"G10160";"1016";"0.12-0.18";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"G10170";"1017";"0.14-0.20";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"G10180";"1018";"0.14-0.20";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"G10190";"1019";"0.14-0.20";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
