sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 12 Carbon steel compositions applicable to semifinished products for forging, hot-rolled and cold-finished bars, wire rods, and seamless tubing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"UNS number";"SAE-AISI number";"Cast or heat 
chemical ranges 
and limits; C (a) (%)";"Cast or heat 
chemical ranges 
and limits; Mn (a) (%)";"Cast or heat 
chemical ranges 
and limits; P max (a) (%)";"Cast or heat 
chemical ranges 
and limits; S max (a) (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"G10300";"1030";"0.28-0.34";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"G10350";"1035";"0.32-0.38";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"G10370";"1037";"0.32-0.38";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"G10380";"1038";"0.35-0.42";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"G10390";"1039";"0.37-0.44";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"G10400";"1040";"0.37-0.44";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"G10420";"1042";"0.40-0.47";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"G10430";"1043";"0.40-0.47";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"G10440";"1044";"0.43-0.50";"0.30-0.60";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"G10450";"1045";"0.43-0.50";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"G10460";"1046";"0.43-0.50";"0.70-1.00";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"G10490";"1049";"0.46-0.53";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"G10500";"1050";"0.48-0.55";"0.60-0.90";"0.04";"0.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
