sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 14 Typical tensile properties of annealed type 300 austenitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"form";"orientation";"temperature (°C)";"temperature (°F)";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"yield 
strength (MPa)";"yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"notch tensile 
strength (a) (MPa)";"notch tensile 
strength (a) (ksi)";"Young's 
modulus (GPa)";"Young's 
modulus (106 psi)";"";"";"";"";"";"";"";"";"";""
"51";"347";"sheet";"longitudinal orientation";"24";"75";"650";"94";"255";"37";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"347";"sheet";"longitudinal orientation";"-196";"-320";"1365";"198";"420";"61";"47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"347";"sheet";"longitudinal orientation";"-253";"-423";"1610";"234";"435";"63";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"347";"bar";"";"24";"75";"670";"97.4";"340";"49.3";"57";"76";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"347";"bar";"";"-78";"-108";"995";"144";"475";"68.8";"51";"71";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"347";"bar";"";"-196";"-320";"1470";"214";"430";"62.2";"43";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"347";"bar";"";"-253";"-423";"1850";"268";"525";"76.4";"38";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
