sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"6250H";"Bars, forgings, tubing";"0.07-0.13";"1.5";"3.5";"";"";"3310";"K44910";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"6255";"Bars, forgings, tubing (premium quality, double vacuum melted)";"0.16-0.22";"1.45";"";"1";"1.1 Si, 0.08 AI";"CBS 600";"K21940";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"6256A";"Bars, forgings, tubing (premium quality, double vacuum melted)";"0.10-0.16";"1";"3";"4.5";"0.08 Al, 0.38 V";"CBS 1000M";"K71350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"6260K";"Bars, forgings, tubing (carburizing)";"0.07-0.13";"1.2";"3.2";"0.12";"";"9310";"G93106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"6263G";"Bars, forgings, tubing (carburizing grade, aircraft)";"0.11-0.17";"1.2";"3.2";"0.12";"";"9315";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"6264G";"Bars, forgings, tubing (carburizing)";"0.14-0.20";"1.2";"3.2";"0.12";"";"9317";"K44414";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"6265F";"Bars, forgings, tubing (premium quality, consumable vacuum melted)";"0.07-0.13";"1.2";"3.25";"0.12";"";"9310";"G93106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"6266F";"Bars, forgings, tubing";"0.08-0.13";"0.5";"1.82";"0.25";"0.003 B, 0.06 V";"43BV12";"K21028";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"6267C";"Bars, forgings, tubing";"0.07-0.13";"1.2";"3.25";"0.12";"";"9310";"G93106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"6270L";"Bars, forgings, tubing";"0.11-0.17";"0.5";"0.55";"0.2";"";"8615";"G86150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"6272G";"Bars, forgings, tubing";"0.15-0.20";"0.5";"0.55";"0.2";"";"8617";"G86170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"6274K";"Bars, forgings, tubing";"0.18-0.23";"0.5";"0.55";"0.2";"";"8620";"G86200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"6275E";"Bars, forgings, tubing";"0.15-0.20";"0.4";"0.45";"0.12";"0.002 B";"94B17";"G94171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"6276F";"Bars, forgings, tubing (consumable vacuum melted)";"0.18-0.23";"0.5";"0.55";"0.2";"";"8620";"G86200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"6277D";"Bars, forgings, tubing (vacuum arc remelted, electroslag remelted)";"0.18-0.23";"0.5";"0.55";"0.2";"";"8620";"G86200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"6278";"Bars, forgings, tubing (for bearing applications; premium quality, double vacuum melted)";"0.11-0.15";"4.1";"3.4";"4.2";"1.2 V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"6280G";"Bars, forgings, rings";"0.28-0.33";"0.5";"0.55";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"6281F";"Tubing (mechanical)";"0.28-0.33";"0.5";"0.55";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
