sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"6282F";"Tubing (mechanical)";"0.33-0.38";"0.5";"0.55";"0.25";"";"8735";"G87350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"6290F";"Bars, forgings (carburizing)";"0.11-0.17";"";"1.8";"0.25";"";"4615";"G46150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"6292F";"Bars, forgings (carburizing)";"0.15-0.20";"";"1.8";"0.25";"";"4617";"G46170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"6294F";"Bars, forgings";"0.17-0.22";"";"1.8";"0.25";"";"4620";"G42600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"6299C";"Bars, forgings, tubing";"0.17-0.23";"0.5";"1.8";"0.25";"";"4320H";"H43200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"6300C";"Bars, forgings";"0.35-0.40";"";"";"0.25";"";"4037";"G40370";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"6302E";"Bars, forgings, tubing (low alloy, heat resistant)";"0.28-0.33";"1.25";"";"0.5";"0.65 Si, 0.25 V";"17-22A(S)";"K23015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"6303D";"Bars, forgings";"0.25-0.30";"1.25";"";"0.5";"0.65 Si, 0.85 V";"17-22A(V)";"K22770";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"6304G";"Bars, forgings, tubing (low alloy, heat resistant)";"0.40-0.50";"0.95";"";"0.55";"0.30 V";"17-22A";"K14675";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"MAM 6304(b)";"Bars, forgings, tubing (low alloy, heat resistant)";"0.40-0.50";"0.95";"";"0.55";"0.30 V";"17-22A";"K14675";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"6305A";"Bars, forgings, tubing (vacuum arc remelted)";"0.40-0.50";"0.95";"";"0.55";"0.30 V";"17-22A";"K14675";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"6308A";"Bars, forgings (vacuum arc remelted, electroslag remelted)";"0.07-0.13";"1";"2";"3.2";"2.0 Cu, 0.10 V, 0.90 Si";"Pyrowear alloy 53";"K71040";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"6312E";"Bars, forgings, tubing";"0.38-0.43";"";"1.8";"0.25";"";"4640";"K22440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"63I7E";"Bars, forgings (heat treated; 860 MPa tensile strength)";"0.38-0.43";"";"1.8";"0.25";"";"4640";"K22440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"6320H";"Bars, forgings, rings";"0.33-0.38";"0.5";"0.55";"0.25";"";"8735";"G87350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"6321D";"Bars, forgings, tubing";"0.38-0.43";"0.42";"0.3";"0.12";"0.003 B";"81B40";"K03810";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"6322K";"Bars, forgings, rings";"0.38-0.43";"0.5";"0.55";"0.25";"";"8740";"G87400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"6323G";"Tubing (mechanical)";"0.38-0.43";"0.5";"0.55";"0.25";"";"8740";"G87400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"6324E";"Bars, forgings, tubing";"0.38-0.43";"0.65";"0.7";"0.25";"";"8740 mod";"K11640";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"6325F";"Bars, forgings (heat treated; 725 MPa tensile strength)";"0.38-0.43";"0.5";"0.55";"0.25";"";"8740";"G87400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"6327G";"Bars, forgings (heat treated; 860 MPa tensile strength)";"0.38-0.43";"0.5";"0.55";"0.25";"";"8740";"G87400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"6328H";"Bars, forgings, tubing";"0.48-0.53";"0.5";"0.55";"0.25";"";"8750";"K13550";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"6330D";"Bars, forgings, tubing";"0.33-0.38";"0.65";"1.25";"";"";"3135";"K22033";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"6342G";"Bars, forgings, tubing";"0.38-0.43";"0.8";"1";"0.25";"";"9840";"G98400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"6348A";"Bars (normalized)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"6349A";"Bars (normalized)";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"6350G";"Plate, sheet, strip";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"6351D";"Plate, sheet, strip (spheroidized)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"6352E";"Plate, sheet, strip";"0.33-0.38";"0.95";"";"0.2";"";"4135";"G41350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"6354C";"Plate, sheet, strip";"0.10-0.17";"0.62";"";"0.2";"0.75 Si, 0.10 Zr";"NAX9115-AC";"K11914";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"6355K";"Plate, sheet, strip";"0.28-0.33";"0.5";"0.55";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"6356C";"Plate, sheet, strip";"0.30-0.35";"0.95";"";"0.2";"";"4132";"K13247";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
