sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Thermal conductivities of carbon and low-alloy steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AISI-SAE grade";"treatment or condition";"conductivity (a) at 
0°C (32°F) (W/(m K))";"conductivity (a) at 
100°C (212°F) (W/(m K))";"conductivity (a) at 
200°C (392°F) (W/(m K))";"conductivity (a) at 
300°C (572°F) (W/(m K))";"conductivity (a) at 
400°C (752°F) (W/(m K))";"conductivity (a) at 
500°C (932°F) (W/(m K))";"conductivity (a) at 
600°C (1112°F) (W/(m K))";"conductivity (a) at 
700°C (1292°F) (W/(m K))";"conductivity (a) at 
800°C (1472°F) (W/(m K))";"conductivity (a) at 
1000°C (1832°F) (W/(m K))";"conductivity (a) at 
1200°C (2192°F) (W/(m K))";"";"";"";"";"";"";"";"";"";"";"";""
"17";"1042";"Annealed";"51.9";"50.7";"48.2";"45.6";"41.9";"38.1";"33.9";"30.1";"24.7";"26.8";"29.7";"";"";"";"";"";"";"";"";"";"";"";""
"18";"1043";"Annealed";"";"50.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"1044";"Annealed";"";"50.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"1045";"Annealed";"";"50.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"1046";"Unknown";"51.2";"49.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"1050";"Annealed";"51.2";"49.7";"46.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"1055";"Unknown";"51.2";"49.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"1060";"Unknown";"50.5";"";"46.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"1064";"Unknown";"51.2";"49.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"1070";"Unknown";"49.9";"48.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
