sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130";"6512B";"Bars, forgings, tubing, rings (annealed)";"";"";"18";"4.9";"7.8 Co, 0.40 Ti, 0.10 Al";"Maraging 250";"K92890";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"131";"6514B";"Bars, forgings, tubing, rings (annealed, consumable electrode remelted)";"";"";"18.5";"4.9";"9.0 Co, 0.65 Ti, 0.10 Al";"Maraging 300";"K93120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"132";"6518A";"Sheet, strip, plate (solution treated, double vacuum melted)";"";"";"19";"3";"0.10 Al, 1.4 Ti";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"133";"6519A";"Bars, forgings, tubing, springs (annealed, double vacuum melted)";"";"";"19";"3";"0.10 Al, 1.4 Ti";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"134";"6520B";"Plate, sheet, strip (solution heat treated, consumable electrode remelted)";"";"";"18";"4.9";"7.8 Co, 0.40 Ti, 0.10 Al";"Maraging 250";"K92890";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"135";"6521A";"Plate, sheet, strip (solution heat treated, consumable electrode remelted)";"";"";"18.5";"4.9";"9.0 Co, 0.65 Ti, 0.10 Al";"Maraging 300";"K93120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136";"6522";"Plate (premium quality, vacuum melted)";"";"2";"10";"1";"14.0 Co";"AF 1410";"K92571";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"137";"6523C";"Sheet, strip, plate (annealed, consumable vacuum melted)";"0.17-0.23";"0.75";"9";"1";"0.09 V, 4.5 Co";"HP 9-4-20";"K91472";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"138";"6524B";"Sheet, strip, plate (annealed, consumable vacuum melted)";"0.29-0.34";"1";"7.5";"1";"0.09 V, 4.5 Co";"HP 9-4-30";"K91283";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"139";"6525A";"Bars, forgings, tubing, rings (consumable vacuum melted)";"0.17-0.23";"0.75";"9";"1";"0.09 V, 4.5 Co";"HP 9-4-20";"K91283";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"140";"6526C";"Bars, forgings, tubing, rings (annealed, consumable vacuum melted)";"0.29-0.34";"1";"7.5";"1";"4.5 Co, 0.09 V";"HP 9-4-30";"K91313";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"141";"6527";"Bars, forgings (premium quality, vacuum melted)";"0.13-0.17";"2";"10";"1";"14 Co";"AF 1410";"K92571";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"142";"6528";"Bars (normalized, special aircraft quality cleanliness)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"143";"6529";"Bars (normalized, special aircraft)";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"144";"6530H";"Tubing (seamless)";"0.28-0.33";"0.55";"0.5";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"145";"6535G";"Tubing (seamless)";"0.28-0.33";"0.5";"0.55";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"146";"6543A";"Bars, forgings (solution treated, double vacuum melted)";"0.10-0.14";"2";"10";"1";"8.0 Co";"";"K91970";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"147";"6544A";"Plate (solution treated, vacuum melted)";"0.10-0.14";"2";"10";"1";"8.0 Co";"";"K92571";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"148";"6546C";"Plate, sheet, strip (annealed, premium quality, consumable electrode remelted)";"0.24-0.30";"0.48";"8";"0.48";"4.0 Co 0.09 V";"HP 9-4-25";"K91122";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"149";"6550H";"Tubing (welded)";"0.28-0.33";"0.55";"0.5";"0.2";"";"8630";"G86300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
