sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Hardening and Tempering of Tool Steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel";"steel type";"rate of heating";"hardening preheat temperature (°C)";"hardening preheat temperature (°F)";"hardening temperature (°C)";"hardening temperature (°F)";"time at temperature (min)";"quenching medium(a)";"tempering temperature (°C)";"tempering temperature (°F)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Low-alloy special-purpose steels";"L2";"Slowly";"";"";"water quench, W: 790 - 845";"water quench, W: 1450 - 1550";"10 - 30";"oil quench, O or water quench, W";"175 - 540";"350 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Low-alloy special-purpose steels";"";"";"";"";"oil quench, O: 845 - 925";"oil quench, O: 1550 - 1700";"";"oil quench, O or water quench, W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Low-alloy special-purpose steels";"L3";"Slowly";"";"";"water quench, W: 775 - 815";"water quench, W:1425 - 1500";"10 - 30";"oil quench, O or water quench, W";"175 - 315";"350 - 600";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Low-alloy special-purpose steels";"";"";"";"";"oil quench, O: 815 - 870";"oil quench, O:1500 - 1600";"";"oil quench, O or water quench, W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Low-alloy special-purpose steels";"L6";"Slowly";"";"";"790 - 845";"1450 - 1550";"10 - 30";"oil quench, O";"175 - 540";"350 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Carbon-tungsten special-purpose steels";"F1, F2";"Slowly";"650";"1200";"790 - 870";"1450 - 1600";"15";"water quench, W or brine quench, B";"175 - 260";"350 - 500";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Water-hardening steels";"Wl, W2, W3";"Slowly";"565 - 650(k)";"1050 - 1200(k)";"760 - 815";"1400 - 1550";"10 - 30";"brine quench, B or water quench, W";"175 - 345";"350 - 650";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"High-carbon, high-chromium cold work steels";"D1, D5";"Very slowly";"815";"1500";"980 - 1025";"1800 - 1875";"15 - 45";"air quench, A";"205 - 540";"400 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"High-carbon, high-chromium cold work steels";"D3";"Very slowly";"815";"1500";"925 - 980";"1700 - 1800";"15 - 45";"oil quench, O";"205 - 540";"400 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"High-carbon, high-chromium cold work steels";"D4";"Very slowly";"815";"1500";"970 - 1010";"1775 - 1850";"15 - 45";"air quench, A";"205 - 540";"400 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"High-carbon, high-chromium cold work steels";"D7";"Very slowly";"815";"1500";"1010 - 1065";"1850 - 1950";"30 - 60";"air quench, A";"150 - 540";"300 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
