sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"6357F";"Plate, sheet, strip";"0.33-0.38";"0.5";"0.5";"0.25";"";"8735";"G87350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"6358F";"Plate, sheet, strip";"0.38-0.43";"0.5";"0.55";"0.25";"";"8740";"G87400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"6359E";"Plate, sheet, strip";"0.38-0.43";"0.8";"1.8";"0.25";"";"4340";"G43400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"6360H";"Tubing (seamless, normalized or stress relieved)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"6361B";"Tubing (seamless, round; 860 MPa tensile strength)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"6362C";"Tubing (seamless; 1035 MPa tensile strength)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"6365G";"Tubing (seamless, normalized or stress relieved)";"0.33-0.38";"0.95";"";"0.2";"";"4135";"G41350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"6370J ";"Bars, forgings, rings";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"6371G";"Tubing (mechanical)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"6372G";"Tubing (mechanical)";"0.33-0.38";"0.95";"";"0.2";"";"4135";"G41350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
