sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"6373C";"Tubing (welded)";"0.28-0.33";"0.95";"";"0.2";"";"4130";"G41300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"6378C";"Bars (die drawn, free machining; 895 M Pa yield strength)";"0.39-0.48";"0.95";"";"0.2";"0.015 Te";"4142H";"K11542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"6379A";"Bars (die drawn and tempered; 1140 MPa yield strength)";"0.40-0.53";"0.95";"";"0.2";"0.05 Te";"4140 mod";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"6381D";"Tubing";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"6382J";"Bars, forgings";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"6385D";"Plate, sheet, strip";"0.27-0.33";"1.25";"";"0.5";"0.65 Si, 0.25 V";"17-22A(S)";"K23015";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"6386B(1)";"Plate, sheet (heat treated; 620 and 690 MPa yield strength)";"0.15-0.21";"0.50-0.80";"";"0.18-0.28";"0.40-0.80 Si, 0.05-0.15 Zr";"";"K11856";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"6386B(2)";"Plate, sheet (heat treated; 620 and 690 MPa yield strength)";"0.12-0.21";"0.40-0.65";"";"0.15-0.25";"0.20-0.35 Si, 0.01-0.03 Ti, 0.03-0.08 V, 0.0005-0.005 B";"";"K11630";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"6386B(3)";"Plate, sheet (heat treated; 620 and 690 MPa yield strength)";"0.10-0.20";"";"";"1.10-1.50";"0.15-0.30 Si, 0.001-0.005 B";"";"K11511";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"70";"6386(4) ";"Plate, sheet (heat treated; 620 and 690 MPa yield strength)";"0.13-0.20";"0.85-1.20";"";"0.15-0.25";"0.20-0.40 Cu, 0.20-0.35 Si, 0.04-0.10 Ti, 0.0015-0.005 B";"";"K11662";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"6386B(5)";"Plate, sheet (heat treated; 620 and 690 MPa yield strength)";"0.12-0.21";"";"";"0.45-0.70";"0.20-0.35 Si, 0.001-0.005 B";"";"K11625";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"6390B";"Tubing (mechanical, special surface quality)";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"73";"6395C";"Plate, sheet, strip";"0.38-0.43";"0.95";"";"0.2";"";"4140";"G41400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"74";"6396B";"Sheet, strip, plate (annealed)";"0.49-0.55";"0.8";"1.8";"0.25";"";"";"K22950";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"75";"6406C";"Plate, sheet, strip (annealed)";"0.41-0.46";"2.1";"";"0.58";"1.6 Si, 0.05 V";"X200";"K34378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"76";"6407D";"Bars, forgings, tubing";"0.27-0.33";"1.2";"2.05";"0.45";"";"HS-220";"K33020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"77";"6408";"Bars, forgings, tubing (annealed, electroslag remelted, consumable vacuum melted, vacuum arc remelted, premium quality)";"0.35-0.45";"5.2";"";"1.5";"1.0 V";"";"T20813";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"78";"6409";"Bars, forgings, tubing (normalized and tempered, quality cleanliness)";"0.38-0.43";"0.8";"1.8";"0.25";"";"4340";"G43400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"79";"6411C";"Bars, forgings, tubing (consumable electrode remelted)";"0.28-0.33";"0.85";"1.8";"0.4";"";"4330 mod";"K23080";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"80";"6412H";"Bars, forgings";"0.35-0.40";"0.8";"1.8";"0.25";"";"4337";"G43370";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"81";"6413G";"Tubing (mechanical)";"0.35-0.40";"0.8";"1.8";"0.25";"";"4337";"G43370";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"82";"6414E";"Bars, forgings, tubing (consumable vacuum melted)";"0.38-0.43";"0.8";"1.8";"0.25";"";"4340";"G43400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"83";"6415L";"Bars, forgings, tubing";"0.38-0.43";"0.8";"1.8";"0.25";"";"4340";"G43400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"84";"MAM 6415(b)";"Bars, forgings, tubing";"0.38-0.43";"0.8";"1.8";"0.25";"";"4340";"G43400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"85";"6416B";"Superseded by AMS 6419";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"6417C";"Bars, forgings, tubing (consumable electrode remelted)";"0.38-0.43";"0.82";"1.8";"0.4";"1.6 Si, 0.08 V";"300M";"K44220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"87";"6418F";"Bars, forgings, tubing, rings";"0.23-0.28";"0.3";"1.8";"0.4";"1.3 Mn, 1.5 Si";"Hy-tuf";"K32550";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"88";"6419C";"Bars, forgings, tubing (consumable vacuum melted)";"0.40-0.45";"0.82";"1.8";"0.4";"1.6 Si, 0.08 V";"300M";"K44220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"89";"6421B";"Bars, forgings, tubing";"0.35-0.40";"0.8";"0.85";"0.2";"0.003 B";"98B37 mod";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"90";"6422E";"Bars, forgings, tubing";"0.38-0.43";"0.8";"0.85";"0.2";"0.003 B";"98BV40 mod";"K11940";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91";"6423C";"Bars, forgings, tubing";"0.40-0.46";"0.92";"0.75";"0.52";"0.003 B";"";"K24336";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"92";"6424B";"Bars, forgings, tubing";"0.49-0.59";"0.8";"1.8";"0.25";"";"";"K22950";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"93";"6426C";"Bars, forgings, tubing (consumable vacuum melted)";"0.80-0.90";"1";"";"0.58";"0.75 Si";"52CB";"K18597";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"94";"6427G";"Bars, forgings, tubing";"0.28-0.33";"0.85";"1.8";"0.42";"0.08 V";"4330 mod";"K23080";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"95";"6428D";"Bars, forgings, tubing";"0.32-0.38";"0.8";"1.8";"0.35";"0.20 V";"4335 mod";"K23477";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"96";"6429C";"Bars, forgings, tubing, rings (consumable vacuum melted)";"0.33-0.38";"0.78";"1.8";"0.35";"0.20 V";"4335 mod";"K33517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97";"6430C";"Bars, forgings, tubing, rings (special grade)";"0.32-0.38";"0.78";"1.8";"0.35";"0.20 V";"4335 mod";"K33517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98";"6431G";"Bars, forgings, tubing (consumable vacuum melted)";"0.45-0.50";"1.05";"0.55";"1";"0.11 V";"D6AC";"K24728";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"99";"6432A";"Bars, forgings, tubing";"0.43-0.49";"1.05";"0.55";"1";"0.12 V";"D6A";"K24728";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"100";"6433C";"Plate, sheet, strip (special grade)";"0.33-0.38";"0.8";"1.8";"0.35";"0.20 V";"4335 mod";"K33517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
