sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 14 Typical tensile properties of annealed type 300 austenitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"form";"orientation";"temperature (°C)";"temperature (°F)";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"yield 
strength (MPa)";"yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"notch tensile 
strength (a) (MPa)";"notch tensile 
strength (a) (ksi)";"Young's 
modulus (GPa)";"Young's 
modulus (106 psi)";"";"";"";"";"";"";"";"";"";""
"36";"310";"bar";"longitudinal orientation";"-196";"-320";"1090";"158";"520";"75.5";"68";"50";"";"";"205";"29.9";"";"";"";"";"";"";"";"";"";""
"37";"310";"bar";"longitudinal orientation";"-253";"-423";"1390";"202";"855";"124";"44";"48";"1305";"189";"";"";"";"";"";"";"";"";"";"";"";""
"38";"310";"bar";"longitudinal orientation";"-269";"-452";"1300";"189";"715";"104";"50";"41";"";"";"205";"29.9";"";"";"";"";"";"";"";"";"";""
"39";"310S";"forging";"transverse orientation";"24";"75";"585";"84.8";"260";"37.9";"54";"71";"800";"116";"";"";"";"";"";"";"";"";"";"";"";""
"40";"310S";"forging";"transverse orientation";"-196";"-320";"1100";"159";"605";"87.6";"72";"52";"1350";"196";"";"";"";"";"";"";"";"";"";"";"";""
"41";"310S";"forging";"transverse orientation";"-269";"-452";"1300";"189";"815";"118";"64";"45";"1600";"232";"";"";"";"";"";"";"";"";"";"";"";""
"42";"316";"sheet";"longitudinal orientation";"24";"75";"595";"86.4";"275";"39.8";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"316";"sheet";"longitudinal orientation";"-253";"-423";"1580";"229";"664";"96.6";"55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"321";"sheet";"longitudinal orientation";"24";"75";"620";"89.6";"225";"32.4";"55";"";"625";"90.4";"180";"26";"";"";"";"";"";"";"";"";"";""
"45";"321";"sheet";"longitudinal orientation";"-196";"-320";"1380";"200";"315";"45.6";"46";"";"1520";"220";"205";"29.5";"";"";"";"";"";"";"";"";"";""
"46";"321";"sheet";"longitudinal orientation";"-253";"-423";"1650";"239";"375";"54.5";"36";"";"1460";"212";"210";"30.7";"";"";"";"";"";"";"";"";"";""
"47";"321";"bar";"longitudinal orientation";"24";"75";"675";"97.6";"430";"62.2";"55";"79";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"321";"bar";"longitudinal orientation";"-78";"-108";"1060";"153";"385";"55.9";"46";"73";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"321";"bar";"longitudinal orientation";"-196";"-320";"1540";"223";"450";"65.4";"38";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"321";"bar";"longitudinal orientation";"-253";"-423";"1860";"270";"405";"58.5";"35";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
