sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 9 Estimated mechanical properties and machinability ratings of nonresulfurized carbon steel bars";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"Mn (%)";"SAE and/or 
AISI No.";"UNS no.";"type of 
processing (a)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 
50 mm (2 in) (%)";"reduction 
in area (%)";"hardness, HB (unitless)";"average machinability 
rating (b) (%)";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Manganese 1.00% maximum";"1065";"G10650";"SACD";"630";"92";"490";"71";"10";"45";"187";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"70";"Manganese 1.00% maximum";"1070";"G10700";"Hot rolled";"700";"102";"390";"56";"12";"30";"212";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"Manganese 1.00% maximum";"1070";"G10700";"SACD";"640";"93";"500";"72";"10";"45";"192";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"Manganese 1.00% maximum";"1074";"G10740";"Hot rolled";"720";"105";"400";"58";"12";"30";"217";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"73";"Manganese 1.00% maximum";"1074";"G10740";"SACD";"650";"94.5";"500";"73";"10";"40";"192";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"74";"Manganese 1.00% maximum";"1078";"G10780";"Hot rolled";"690";"100";"380";"55";"12";"30";"207";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"75";"Manganese 1.00% maximum";"1078";"G10780";"SACD";"650";"94";"500";"72.5";"10";"40";"192";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"76";"Manganese 1.00% maximum";"1080";"G10800";"Hot rolled";"770";"112";"420";"61.5";"10";"25";"229";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"77";"Manganese 1.00% maximum";"1080";"G10800";"SACD";"680";"98";"520";"75";"10";"40";"192";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"78";"Manganese 1.00% maximum";"1084";"G10840";"Hot rolled";"820";"119";"450";"65.5";"10";"25";"241";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"79";"Manganese 1.00% maximum";"1084";"G10840";"SACD";"690";"100";"530";"77";"10";"40";"192";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"80";"Manganese 1.00% maximum";"1085";"G10850";"Hot rolled";"830";"121";"460";"66.5";"10";"25";"248";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"81";"Manganese 1.00% maximum";"1085";"G10850";"SACD";"690";"100.5";"540";"78";"10";"40";"192";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"82";"Manganese 1.00% maximum";"1086";"G10860";"Hot rolled";"770";"112";"420";"61.5";"10";"25";"229";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"83";"Manganese 1.00% maximum";"1086";"G10860";"SACD";"670";"97";"510";"74";"10";"40";"192";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"84";"Manganese 1.00% maximum";"1090";"G10900";"Hot rolled";"840";"122";"460";"67";"10";"25";"248";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"85";"Manganese 1.00% maximum";"1090";"G10900";"SACD";"700";"101";"540";"78";"10";"40";"197";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"Manganese 1.00% maximum";"1095";"G10950";"Hot rolled";"830";"120";"460";"66";"10";"25";"248";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"87";"Manganese 1.00% maximum";"1095";"G10950";"SACD";"680";"99";"520";"76";"10";"40";"197";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"88";"Manganese, maximum >1.00%";"1524";"G15240";"Hot rolled";"510";"74";"280";"41";"20";"42";"149";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"89";"Manganese, maximum >1.00%";"1524";"G15240";"Cold drawn";"570";"82";"480";"69";"12";"35";"163";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"90";"Manganese, maximum >1.00%";"1527";"G15270";"Hot rolled";"520";"75";"280";"41";"18";"40";"149";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91";"Manganese, maximum >1.00%";"1527";"G15270";"Cold drawn";"570";"83";"480";"70";"12";"35";"163";"65";"";"";"";"";"";"";"";"";"";"";"";"";""
"92";"Manganese, maximum >1.00%";"1536";"G15360";"Hot rolled";"570";"83";"310";"45.5";"16";"40";"163";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"93";"Manganese, maximum >1.00%";"1536";"G15360";"Cold drawn";"630";"92";"530";"77.5";"12";"35";"187";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"94";"Manganese, maximum >1.00%";"1541";"G15410";"Hot rolled";"630";"92";"350";"51";"15";"40";"187";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"95";"Manganese, maximum >1.00%";"1541";"G15410";"Cold drawn";"710";"102.5";"600";"87";"10";"30";"207";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"96";"Manganese, maximum >1.00%";"1541";"G15410";"ACD";"650";"94";"550";"80";"10";"45";"184";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"97";"Manganese, maximum >1.00%";"1548";"G15480";"Hot rolled";"660";"96";"370";"53";"14";"33";"197";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98";"Manganese, maximum >1.00%";"1548";"G15480";"Cold drawn";"730";"106.5";"620";"89.5";"10";"28";"217";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"99";"Manganese, maximum >1.00%";"1548";"G15480";"ACD";"640";"93.5";"540";"78.5";"10";"35";"192";"50";"";"";"";"";"";"";"";"";"";"";"";"";""
"100";"Manganese, maximum >1.00%";"1552";"G15520";"Hot rolled";"740";"108";"410";"59.5";"12";"30";"217";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
