sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 9 Estimated mechanical properties and machinability ratings of nonresulfurized carbon steel bars";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"Mn (%)";"SAE and/or 
AISI No.";"UNS no.";"type of 
processing (a)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 
50 mm (2 in) (%)";"reduction 
in area (%)";"hardness, HB (unitless)";"average machinability 
rating (b) (%)";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Manganese 1.00% maximum";"1045";"G10450";"Cold drawn";"630";"91";"530";"77";"12";"35";"179";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Manganese 1.00% maximum";"1045";"G10450";"ACD";"590";"85";"500";"73";"12";"45";"170";"65";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Manganese 1.00% maximum";"1046";"G10460";"Hot rolled";"590";"85";"320";"47";"15";"40";"170";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Manganese 1.00% maximum";"1046";"G10460";"Cold drawn";"650";"94";"540";"79";"12";"35";"187";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Manganese 1.00% maximum";"1046";"G10460";"ACD";"620";"90";"520";"75";"12";"45";"179";"65";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Manganese 1.00% maximum";"1049";"G10490";"Hot rolled";"600";"87";"330";"48";"15";"35";"179";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Manganese 1.00% maximum";"1049";"G10490";"Cold drawn";"670";"97";"560";"81.5";"10";"30";"197";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"Manganese 1.00% maximum";"1049";"G10490";"ACD";"630";"92";"530";"77";"10";"40";"187";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"Manganese 1.00% maximum";"1050";"G10500";"Hot rolled";"620";"90";"340";"49.5";"15";"35";"179";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"Manganese 1.00% maximum";"1050";"G10500";"Cold drawn";"690";"100";"580";"84";"10";"30";"197";"45";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"Manganese 1.00% maximum";"1050";"G10500";"ACD";"660";"95";"550";"80";"10";"40";"189";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"Manganese 1.00% maximum";"1055";"G10550";"Hot rolled";"650";"94";"360";"51.5";"12";"30";"192";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"Manganese 1.00% maximum";"1055";"G10550";"ACD";"660";"96";"560";"81";"10";"40";"197";"55";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"Manganese 1.00% maximum";"1060";"G10600";"Hot rolled";"680";"98";"370";"54";"12";"30";"201";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"Manganese 1.00% maximum";"1060";"G10600";"SACD";"620";"90";"480";"70";"10";"45";"183";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"Manganese 1.00% maximum";"1064";"G10640";"Hot rolled";"670";"97";"370";"53.5";"12";"30";"201";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"Manganese 1.00% maximum";"1064";"G10640";"SACD";"610";"89";"480";"69";"10";"45";"183";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"Manganese 1.00% maximum";"1065";"G10650";"Hot rolled";"690";"100";"380";"55";"12";"30";"207";"";"";"";"";"";"";"";"";"";"";"";"";"";""
