sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 11 Minimum mechanical properties of martensitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"UNS no.";"product form (a)";"condition";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"0.2% yield 
strength (MPa)";"0.2% yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"Rockwell 
hardness";"ASTM 
specification";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Lapelloy";"S42300";"wire";"Annealed, cold finished";"965 max";"140 max";"";"";"";"";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Lapelloy";"S42300";"wire";"Annealed";"760";"110";"";"";"";"";"";"A 493";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Lapelloy";"S42300";"wire";"Lightly drafted";"795";"115";"";"";"";"";"";"A 493";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"440A";"S44002";"bar";"Annealed";"725(c)";"105(c)";"415(c)";"60(c)";"20(c)";"";"95 HRB(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"440A";"S44002";"bar";"Tempered at 315°C (600°F)";"1790(c)";"260(c)";"1650(c)";"240(c)";"5(c)";"20(c)";"51 HRC(C)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"440A";"S44002";"wire";"Annealed, cold finished";"965 max";"140 max";"";"";"";"";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"440B";"S44003";"bar";"Annealed";"740(c)";"107(c)";"425(c)";"62(c)";"18(c)";"";"96 HRB(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"440B";"S44003";"bar";"Tempered at 315°C (600°F)";"1930(c)";"280(c)";"1860(c)";"270(c)";"3(c)";"15(c)";"55 HRC(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"440B";"S44003";"wire";"Annealed, cold finished";"965 max";"140 max";"";"";"";"";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"440C";"S44004";"bar";"Annealed";"760(c)";"110(c)";"450(c)";"65(c)";"14(c)";"";"97 HRB(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"440C";"S44004";"bar";"Tempered at 315°C (600°F)";"1970(c)";"285(c)";"1900(c)";"275(c)";"2(c)";"10(c)";"57 HRC(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"440C";"S44004";"wire";"Annealed, cold Finished";"965 max";"140 max";"";"";"";"";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
