sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 1. Typical Hardnesses of Various Carbon and Alloy Steels after Tempering";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steels types";"grade";"carbon content (%)";"Hardness, HRC, after tempering for 2 h at 205 °C (400 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 260 °C (500 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 315 °C (600 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 370 °C (700 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 425 °C (800 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 480 °C (900 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 540 °C (1000 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 595 °C (1100 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 650 °C (1200 &degF) (unitless)";"heat treatment";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy steels, oil hardening";"4340";"0.4";"55";"52";"50";"48";"45";"42";"39";"34";"31";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy steels, oil hardening";"4640";"0.4";"52";"51";"50";"47";"42";"40";"37";"31";"27";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Alloy steels, oil hardening";"8740";"0.4";"57";"53";"50";"47";"44";"41";"38";"35";"22";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Alloy steels, oil hardening";"4150";"0.5";"56";"55";"53";"51";"47";"46";"43";"39";"35";"Normalized at 870 °C (1600 °F), oil quenched from 830-870 °C (1525-1600 °F)); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Alloy steels, oil hardening";"5150";"0.5";"57";"55";"52";"49";"45";"39";"34";"31";"28";"Normalized at 870 °C (1600 °F), oil quenched from 830-870 °C (1525-1600 °F)); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Alloy steels, oil hardening";"6150";"0.5";"58";"57";"53";"50";"46";"42";"40";"36";"31";"Normalized at 870 °C (1600 °F), oil quenched from 830-870 °C (1525-1600 °F)); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Alloy steels, oil hardening";"8650";"0.5";"55";"54";"52";"49";"45";"41";"37";"32";"28";"Normalized at 870 °C (1600 °F), oil quenched from 815-845 °C (1500-1550 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Alloy steels, oil hardening";"8750";"0.5";"56";"55";"52";"51";"46";"44";"39";"34";"32";"Normalized at 870 °C (1600 °F), oil quenched from 815-845 °C (1500-1550 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Alloy steels, oil hardening";"9850";"0.5";"54";"53";"51";"48";"45";"41";"36";"33";"30";"Normalized at 870 °C (1600 °F), oil quenched from 815-845 °C (1500-1550 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
