sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Thermal conductivities of carbon and low-alloy steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AISI-SAE grade";"treatment or condition";"conductivity (a) at 
0°C (32°F) (W/(m K))";"conductivity (a) at 
100°C (212°F) (W/(m K))";"conductivity (a) at 
200°C (392°F) (W/(m K))";"conductivity (a) at 
300°C (572°F) (W/(m K))";"conductivity (a) at 
400°C (752°F) (W/(m K))";"conductivity (a) at 
500°C (932°F) (W/(m K))";"conductivity (a) at 
600°C (1112°F) (W/(m K))";"conductivity (a) at 
700°C (1292°F) (W/(m K))";"conductivity (a) at 
800°C (1472°F) (W/(m K))";"conductivity (a) at 
1000°C (1832°F) (W/(m K))";"conductivity (a) at 
1200°C (2192°F) (W/(m K))";"";"";"";"";"";"";"";"";"";"";"";""
"51";"4626";"Unknown";"";"44.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"5132";"Unknown";"48.6";"46.5";"44.4";"42.3";"38.5";"35.6";"31.8";"28.9";"26";"28.1";"30.1";"";"";"";"";"";"";"";"";"";"";"";""
"53";"5140";"Hardened and tempered";"";"44.8";"43.5";"";"37.7";"";"31.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"8617";"Unknown";"";"43.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"8622";"Unknown";"";"37.5(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"8627";"Unknown";"";"37.5(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"8637";"Unknown";"";"37.5(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"8822";"Unknown";"";"37.5(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
