sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 7 ASTM specifications of mechanical properties for structural plate made of carbon steel, low-alloy steel, and HSLA steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"classification";"ASTM 
specification";"material grade or type";"tensile strength (a) (MPa)";"tensile strength (a) (ksi)";"yield strength (a) (MPa)";"yield strength (a) (ksi)";"elongation (b) in 
200 mm (8 in) (%)";"elongation (b) in 
50 mm (2 in) (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"HSLA steels";"";"65";"550";"80";"450";"65";"15";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"HSLA steels";"A 588";"All";"435(b)";"63(b)";"290(b)";"42(b)";"18";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"HSLA steels";"A 633";"A";"430-570";"63-83";"290";"42";"18";"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"HSLA steels";"";"C, D";"450-590(b)";"65-85(b)";"315(b)";"46(b)";"18";"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"HSLA steels";"";"E";"515-655(b)";"75-95(b)";"380(b)";"55(b)";"18";"23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"HSLA steels";"A 656";"50";"415";"60";"345";"50";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"HSLA steels";"";"60";"485";"70";"415";"60";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"HSLA steels";"";"70";"550";"80";"485";"70";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"HSLA steels";"";"80";"620";"90";"550";"80";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"HSLA steels";"A 678";"D";"620-760";"90-110";"515";"75";"";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"HSLA steels";"A 709";"50";"450";"65";"345";"50";"18";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"HSLA steels";"";"50W";"485";"70";"345";"50";"18";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"HSLA steels";"A 808";"";"415(b)";"60(b)";"290(b)";"42(b)";"18";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"HSLA steels";"A 852";"";"620-760";"90-110";"485";"70";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"HSLA steels";"A 871";"60";"520";"75";"415";"60";"16";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"HSLA steels";"";"65";"550";"80";"450";"65";"15";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
