sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 11 Minimum mechanical properties of martensitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"UNS no.";"product form (a)";"condition";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"0.2% yield 
strength (MPa)";"0.2% yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"Rockwell 
hardness";"ASTM 
specification";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"416 and 416Se";"S41600 and S41623";"wire";"Annealed";"585-860";"85-125";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"416 and 416Se";"S41600 and S41623";"wire";"Intermediate temper";"795-1000";"115-145";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"416 and 416Se";"S41600 and S41623";"wire";"Hard temper";"965-1210";"140-175";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"416 plus X";"S41610";"wire";"Annealed";"585-860";"85-125";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"416 plus X";"S41610";"wire";"Intermediate temper";"795-1000";"115-145";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"416 plus X";"S41610";"wire";"Hard temper";"965-1210";"140-175";"";"";"";"";"";"A 581";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"418";"S41800";"bar, forgings";"Tempered at 620°C (1150°F)";"965";"140";"760";"110";"15";"45";"";"A 565";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"420";"S42000";"bar";"Tempered at 204°C (400°F)";"1720";"250";"1480(c)";"215(c)";"8(c)";"25(c)";"52 HRC(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"420";"S42000";"wire";"Annealed, cold finished";"860 max";"125 max";"";"";"";"";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"420";"S42000";"plate, sheet, strip";"Annealed";"690";"100";"";"";"15";"";"96 HRB max";"A 176";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"TrimRite";"S42010";"wire";"Annealed";"690 max";"100 max";"";"";"";"";"";"A 493";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"TrimRite";"S42010";"wire";"Lightly drafted";"725 max";"105 max";"";"";"";"";"";"A 493";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"422";"S42200";"bar, forgings";"Tempered at 675°C (1250°F)";"825";"120";"585";"85";"17(d)";"35";"";"A 565";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"422";"S42200";"bar, forgings";"Tempered at 620°C (1150°F)";"965";"140";"760";"110";"13";"30";"";"A 565";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Lapelloy";"S42300";"bar, forgings";"Tempered at 620°C (1150°F)";"965";"140";"760";"110";"8";"20";"";"A 565";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Lapelloy";"S42300";"forgings";"Intermediate temper";"795";"115";"620";"90";"15";"";"";"A 473";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Lapelloy";"S42300";"forgings";"Hard temper";"1210";"175";"930";"135";"13";"";"";"A 473";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
